Designator	Quantity	MF	MP	Description	Value	Package	Type	Instructions	HelpURL	System
"R11"	"1"	"Yageo or NXP"	"RC0402FR-074K7L"	"0.062¬т 0402 4.7 кќм, 1%, „ип резистор (SMD)"	"4.7k"	"RC0402"	"SMD"	""	"https://www.chipdip.ru/product0/9000189640"	""
"R12, R13"	"2"	"Yageo or NXP"	"RC0402FR-0722RL"	"0.062¬т 0402 22 ќм, 1%, „ип резистор (SMD)"	"22"	"RC0402"	"SMD"	""	"https://www.chipdip.ru/product0/9000189640"	""
"R14, R15"	"2"	"Yageo or NXP"	"RC0402FR-075K1L"	"0.062¬т 0402 5.1 кќм, 1%, „ип резистор (SMD)"	"5.1k"	"RC0402"	"SMD"	""	"https://www.chipdip.ru/product0/9000189640"	""
"R16"	"1"	"Yageo or NXP"	"RC0402FR-07330RL"	"0.062¬т 0402 330 ќм, 1%, „ип резистор (SMD)"	"330"	"RC0402"	"SMD"	"DNP"	"https://www.chipdip.ru/product0/9000189640"	""
"RFD900X"	"1"	"BOOMELE"	"C52105"	""	""	"None"	""	""	"https://item.szlcsc.com/53119.html"	""
"SBUS"	"1"	"JST Sales"	"SM04B-GHS-TB(LF)(SN)"	"Connector Header Surface Mount, Right Angle 4 position 0.049 _1.25mm_"	""	"None"	""	""	"http://www.farnell.com/datasheets/2082975.pdf"	"Connector"
"TELEM"	"1"	"JST Sales"	"SM06B-GHS-TB_LF__SN_"	"Connector Header Surface Mount, Right Angle 6 position 0.049" (1.25mm)"	""	"None"	""	""	"http://www.farnell.com/datasheets/2082975.pdf"	"Connector"
"U1"	"1"	"Texas Instruments"	"LMR16030SDDAR"	"LMR16030SDDAR, Conv DC-DC 4.3V to 60V Step Down Single-Out 1V to 50V 3A Automotive 8-Pin HSOP EP T/R"	""	"PowerSOIC-8 Texas Instruments"	"SMD"	""	"https://www.ti.com/lit/ds/symlink/lmr16030.pdf"	""
"U2"	"1"	"WCH"	"Ch340G"	"USB Interface Integrated Circuit"	""	"None"	""	""	""	""
"U3"	"1"	"{'manufacturer': u'Silicon Labs'}"	"CP2102N-A02-GQFN28"	"Ic Bridge Usb To Uart 28qfn"	""	"None"	""	"DNP"	""	""
"USB"	"1"	"CUI Devices"	"UJ31-CH-31N-SMT-TR"	"Type C, USB 3.1 Gen 2, 5 A, Right Angle, Surface Mount _SMT_, USB Receptacle"	""	"None"	"SMT"	""	"https://www.chipdip.ru/product1/8002862225"	""
"Y1"	"1"	"Murata"	"CSTCE12M0G55Z-R0"	"Ceramic Resonator, 12 MHz, +/- 0.5%, -40 to 125 degC, 3-Pin SMD, RoHS, Tape and Reel"	"12MHz"	"SMD-3 Murata"	"SMD"	""	"https://www.murata.com/en-eu/api/pdfdownloadapi?cate=&partno=CSTCE8M00G55-R0"	""
